Key,Brazilian
actionPerkAssaultRifles2,"Dano, Mira, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nVelocidade de Recarga [decea3]+4%[-]\n[decea3]Desbloqueia a fabricação de munição de 5,56 mm perfurante [-]"
actionPerkAssaultRifles3,"Dano, Mira, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nVelocidade de Recarga [decea3]+6%[-]"
actionPerkAssaultRifles4,"Dano, Mira, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nVelocidade de Recarga [decea3]+8%[-]"
actionPerkAssaultRifles5,"Dano, Mira, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nVelocidade de Recarga [decea3]+10%[-]"
actionPerkAthletics,"Atletismo"
actionPerkAthletics1,"Vigor Máximo [decea3]+5%[-]\nRecuperação de Vigor em Corrida [decea3]+5%[-]"
actionPerkAthletics2,"Vigor Máximo [decea3]+10%[-]\nRecuperação de Vigor em Corrida [decea3]10%[-]"
actionPerkAthletics3,"Vigor Máximo [decea3]+15%[-]\nRecuperação de Vigor em Corrida [decea3]15%[-]"
actionPerkAthletics4,"Vigor Máximo [decea3]+20%[-]\nRecuperação de Vigor em Corrida [decea3]20%[-]"
actionPerkAthletics5,"Vigor Máximo [decea3]+25%[-]\nRecuperação de Vigor em Corrida [decea3]25%[-]"
actionPerkAthleticsDesc,"Melhora sua taxa de regeneração de Vigor durante a execução e Vigor máximo em até [decea3]20%[-]. Caminhe, corra, pule ou nade para melhorar a habilidade."
actionPerkAthleticsEffect,"Melhora a regeneração de Vigor durante a corrida e Vigor máximo em [decea3]0.2%[-]."
actionPerkAxes,"Carpinteiro" /* */
actionPerkAxes1,"Dano [decea3]+10%[-]\nEficiência de colheita [decea3]+10%[-]"
actionPerkAxes2,"Dano [decea3]+20%[-]\nEficiência de colheita [decea3]+20%[-]"
actionPerkAxes3,"Dano [decea3]+30%[-]\nEficiência de colheita [decea3]+30%[-]"
actionPerkAxes4,"Dano [decea3]+40%[-]\nEficiência de colheita [decea3]+40%[-]"
actionPerkAxes5,"Dano [decea3]+50%[-]\nEficiência de colheita [decea3]+50%[-]"
actionPerkBlades,"Facas e Espadas"
actionPerkBlades1,"Dano, Desmembramento [decea3]+5%[-]\nDano de tiro na cabeça [decea3]+10%[-]"
actionPerkBlades2,"Dano, Desmembramento [decea3]+10%[-]\nDano de tiro na cabeça [decea3]+20%[-]"
actionPerkBlades3,"Dano, Desmembramento [decea3]+15%[-]\nDano de tiro na cabeça [decea3]+30%[-]"
actionPerkBlades4,"Dano, Desmembramento [decea3]+20%[-]\nDano de tiro na cabeça [decea3]+40%[-]"
actionPerkBlades5,"Dano, Desmembramento [decea3]+25%[-]\nDano de tiro na cabeça [decea3]+50%[-]"
actionPerkBladesDesc,"Melhora o dano da arma de lâmina, velocidade de ataque e chance de desmembramento em até [decea3]25%[-] e melhora a colheita de carne em [decea3]40%[-]. Use armas de lâmina para melhorar esta habilidade."
actionPerkBladesEffect,"Melhora o dano da arma de lâmina, velocidade de ataque e chance de desmembramento em [decea3]0.25%[-]. Torne-se mais eficaz na colheita de carne em [decea3]40%[-]."
actionPerkBrawler,"Soco Inglês"
actionPerkBrawler1,"Dano, Desmembramento [decea3]+5%[-]\nDano de tiro na cabeça [decea3]+10%[-]"
actionPerkBrawler2,"Dano, Desmembramento [decea3]+10%[-]\nDano de tiro na cabeça [decea3]+20%[-]"
actionPerkBrawler3,"Dano, Desmembramento [decea3]+15%[-]\nDano de tiro na cabeça [decea3]+30%[-]"
actionPerkBrawler4,"Dano, Desmembramento [decea3]+20%[-]\nDano de tiro na cabeça [decea3]+40%[-]"
actionPerkBrawler5,"Dano, Desmembramento [decea3]+25%[-]\nDano de tiro na cabeça [decea3]+50%[-]"
actionPerkButcher,"Açogueiro"
actionPerkButcher1,"Recursos de cadáveres de animais [decea3]+10%[-]"
actionPerkButcher2,"Recursos de cadáveres de animais [decea3]+20%[-]"
actionPerkButcher3,"Recursos de cadáveres de animais [decea3]+30%[-]"
actionPerkButcher4,"Recursos de cadáveres de animais [decea3]+40%[-]"
actionPerkButcher5,"Recursos de cadáveres de animais [decea3]+50%[-]"
actionPerkClubs,"Porretes"
actionPerkClubs1,"Dano, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nDano Extra em Alvos Atordoados [decea3]+10%[-] [-]"
actionPerkClubs2,"Dano, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nDano Extra em Alvos Atordoados [decea3]+20%[-]"
actionPerkClubs3,"Dano, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nDano Extra em Alvos Atordoados [decea3]+30%[-]"
actionPerkClubs4,"Dano, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nDano Extra em Alvos Atordoados [decea3]+40%[-]"
actionPerkClubs5,"Dano, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nDano Extra em Alvos Atordoados [decea3]+50%[-]"
actionPerkDesc,"[decea3]Habilidades[-]: o nível aumenta sozinho ao realizar uma determinada tarefa ou encontrar e ler um livro de habilidade especiais associado à habilidade.\n\n"
actionPerkExplosives,"Explosivos"
actionPerkExplosives1,"Dano [decea3]+10%[-]\nChance de mirar e desmembramento [decea3]+5%[-]\nVelocidade de recarga [decea3]+2%[-]"
actionPerkExplosives2,"Dano [decea3]+20%[-]\nChance de mirar e desmembramento [decea3]+10%[-]\nVelocidade de recarga [decea3]+4%[-]"
actionPerkExplosives3,"Dano [decea3]+30%[-]\nChance de mirar e desmembramento [decea3]+15%[-]\nVelocidade de recarga [decea3]+6%[-]"
actionPerkExplosives4,"Dano [decea3]+40%[-]\nChance de mirar e desmembramento [decea3]+20%[-]\nVelocidade de recarga [decea3]+8%[-]"
actionPerkExplosives5,"Dano [decea3]+50%[-]\nChance de mirar e desmembramento [decea3]+25%[-]\nVelocidade de recarga [decea3]+10%[-]"
actionPerkHandguns,"Pistoleiro"
actionPerkHandguns1,"Dano, Mira, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nVelocidade de Recarga [decea3]+2%[-]"
actionPerkHandguns2,"Dano, Mira, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nVelocidade de Recarga [decea3]+4%[-]"
actionPerkHandguns3,"Dano, Mira, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nVelocidade de Recarga [decea3]+6%[-]"
actionPerkHandguns4,"Dano, Mira, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nVelocidade de Recarga [decea3]+8%[-]"
actionPerkHandguns5,"Dano, Mira, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nVelocidade de Recarga [decea3]+10%[-]"
actionPerkHandgunsDesc,"Melhora a taxa de disparo das [decea3]Pistolas[-], velocidade de recarga, dano e mira em até [decea3]25%[-]. Use Pistolas para melhorar esta habilidade."
actionPerkHandgunsEffect,"Melhora a taxa de disparo das [decea3]Pistolas[-], velocidade de recarga, dano e mira em até [decea3]25%[-]."
actionPerkHealing,"Cura"
actionPerkHealing1,"Itens médicos são [decea3]10%[-] mais eficazes"
actionPerkHealing2,"Itens médicos são [decea3]20%[-] mais eficazes"
actionPerkHealing3,"Itens médicos são [decea3]30%[-] mais eficazes"
actionPerkHealing4,"Itens médicos são [decea3]40%[-] mais eficazes"
actionPerkHealing5,"Itens médicos são [decea3]50%[-] mais eficazes"
actionPerkHealingDesc,"Aumenta a saúde máxima em até [decea3]50[-]. Use itens de cura ou drogas para melhorar esta habilidade."
actionPerkHealingEffect,"Aumenta a Vida Máxima em [decea3]0.5[-]."
actionPerkLockPicking,"Arrombamento de Fechaduras"
actionPerkLockPicking1,"[decea3]+20[-] para Arrombamento\nGazua e Grampos têm [decea3]20%[-] mais durabilidade"
actionPerkLockPicking2,"[decea3]+40[-] para Arrombamento\nGazua e Grampos têm [decea3]40%[-] mais durabilidade"
actionPerkLockPicking3,"[decea3]+60[-] para Arrombamento\nGazua e Grampos têm [decea3]60%[-] mais durabilidade"
actionPerkLockPicking4,"[decea3]+70[-] para Arrombamento\nGazua e Grampos têm [decea3]80%[-] mais durabilidade"
actionPerkLockPicking5,"[decea3]+100[-] para Arrombamento\nGazua e Grampos têm [decea3]100%[-] mais durabilidade"
actionPerkLockpickingDesc,"Melhora sua capacidade de arrombar fechaduras, aumentando a velocidade com que você pode arrombar uma fechadura em até [decea3]50%[-]. Arrombe fechaduras para melhorar esta habilidade."
actionPerkLooting,"Saqueador"
actionPerkLooting1,"Tempo do saque [decea3]-10%[-]\nEstágio de saque do jogo [decea3]+5%[-]"
actionPerkLooting2,"Tempo do saque [decea3]-20%[-]\nEstágio de saque do jogo [decea3]+10%[-]"
actionPerkLooting3,"Tempo do saque [decea3]-30%[-]\nEstágio de saque do jogo [decea3]+15%[-]"
actionPerkLooting4,"Tempo do saque [decea3]-40%[-]\nEstágio de saque do jogo [decea3]+20%[-]"
actionPerkLooting5,"Tempo do saque [decea3]-50%[-]\nEstágio de saque do jogo [decea3]+25%[-]"
actionPerkMining,"Mineração"
actionPerkMining1,"Dano [decea3]+10%[-]\nEficiência de colheita [decea3]+10%[-]"
actionPerkMining2,"Dano [decea3]+20%[-]\nEficiência de colheita [decea3]+20%[-]"
actionPerkMining3,"Dano [decea3]+30%[-]\nEficiência de colheita [decea3]+30%[-]"
actionPerkMining4,"Dano [decea3]+40%[-]\nEficiência de colheita [decea3]+40%[-]"
actionPerkMining5,"Dano [decea3]+50%[-]\nEficiência de colheita [decea3]+50%[-]"
actionPerkMiningDesc,"Você se torna mais habilidoso ao usar ferramentas relacionadas à mineração, como picaretas e picaretas. Use ferramentas de mineração para melhorar essa habilidade."
actionPerkMiningEffect,"[decea3]+0.5%[-] de Dano a Blocos, [decea3]+0.2%[-] Velocidade de Ataque, [decea3]-0.2%[-] Uso de Vigor"
actionPerkQuesting,"Missões"
actionPerkQuesting1,"Recompensa em dinheiro [decea3]+5%[-]"
actionPerkQuesting2,"Recompensa em dinheiro [decea3]+10%[-]"
actionPerkQuesting3,"Recompensa em dinheiro [decea3]+15%[-]"
actionPerkQuesting4,"Recompensa em dinheiro [decea3]+20%[-]"
actionPerkQuesting5,"Recompensa em dinheiro [decea3]+25%[-]"
actionPerkResistCold,"Resistência ao frio"
actionPerkResistCold1,"Resistência ao frio [decea3]+5[-]"
actionPerkResistCold2,"Resistência ao frio [decea3]+10[-]"
actionPerkResistCold3,"Resistência ao frio [decea3]+15[-]"
actionPerkResistCold4,"Resistência ao frio [decea3]+20[-]"
actionPerkResistCold5,"Resistência ao frio [decea3]+25[-]"
actionPerkResistHeat,"Resistência ao calor"
actionPerkResistHeat1,"Resistência ao calor [decea3]+5[-]"
actionPerkResistHeat2,"Resistência ao calor [decea3]+10[-]"
actionPerkResistHeat3,"Resistência ao calor [decea3]+15[-]"
actionPerkResistHeat4,"Resistência ao calor [decea3]+20[-]"
actionPerkResistHeat5,"Resistência ao calor [decea3]+25[-]"
actionPerkResistPain,"Resistência à dor"
actionPerkResistPain1,"Perda de Saúde [decea3]-4%[-]\nResistência a atordoamento [decea3]+10%[-]"
actionPerkResistPain2,"Perda de Saúde [decea3]-8%[-]\nResistência a atordoamento [decea3]+20%[-]"
actionPerkResistPain3,"Perda de saúde [decea3]-12%[-]\nResistência a atordoamento [decea3]+30%[-]"
actionPerkResistPain4,"Perda de saúde [decea3]-16%[-]\nResistência a atordoamento [decea3]+40%[-]"
actionPerkResistPain5,"Perda de saúde [decea3]-20%[-]\nResistência a atordoamento [decea3]+50%[-]"
actionPerkSalvaging,"Ferramentas Manuais"
actionPerkSalvaging1,"Dano [decea3]+10%[-]\nEficiência de recuperação [decea3]+10%[-]"
actionPerkSalvaging2,"Dano [decea3]+20%[-]\nEficiência de recuperação [decea3]+20%[-]"
actionPerkSalvaging3,"Dano [decea3]+30%[-]\nEficiência de recuperação [decea3]+30%[-]"
actionPerkSalvaging4,"Dano [decea3]+40%[-]\nEficiência de recuperação [decea3]+40%[-]"
actionPerkSalvaging5,"Dano [decea3]+50%[-]\nEficiência de recuperação [decea3]+50%[-]"
actionPerkShockers,"Armas de bastão"
actionPerkShockers1,"Dano, Desmembramento [decea3]+5%[-]\nDano de tiro na cabeça [decea3]+10%[-]"
actionPerkShockers2,"Dano, Desmembramento [decea3]+10%[-]\nDano de tiro na cabeça [decea3]+20%[-]"
actionPerkShockers3,"Dano, Desmembramento [decea3]+15%[-]\nDano de tiro na cabeça [decea3]+30%[-]"
actionPerkShockers4,"Dano, Desmembramento [decea3]+20%[-]\nDano de tiro na cabeça [decea3]+40%[-]"
actionPerkShockers5,"Dano, Desmembramento [decea3]+25%[-]\nDano de tiro na cabeça [decea3]+50%[-]"
actionPerkShotguns,"Espingardas"
actionPerkShotguns1,"Dano, Taxa de tiro, Desmembramento [decea3]+5%[-]\nDano de tiro na cabeça [decea3]+10%[-]\nVelocidade de recarga [decea3]+2%[-]"
actionPerkShotguns2,"Dano, Taxa de tiro, Desmembramento [decea3]+10%[-]\nDano de tiro na cabeça [decea3]+20%[-]\nVelocidade de recarga [decea3]+4%[-]"
actionPerkShotguns3,"Dano, Taxa de tiro, Desmembramento [decea3]+15%[-]\nDano de tiro na cabeça [decea3]+30%[-]\nVelocidade de recarga [decea3]+6%[-]"
actionPerkShotguns4,"Dano, Taxa de tiro, Desmembramento [decea3]+20%[-]\nDano de tiro na cabeça [decea3]+40%[-]\nVelocidade de recarga [decea3]+8%[-]"
actionPerkShotguns5,"Dano, Taxa de tiro, Desmembramento [decea3]+25%[-]\nDano de tiro na cabeça [decea3]+50%[-]\nVelocidade de recarga [decea3]+10%[-]"
actionPerkShotgunsDesc,"Melhora a taxa de disparo de [decea3]Espingardas[-], velocidade de recarga, dano e mira em até [decea3]25%[-]. Use espingardas para melhorar esta habilidade."
actionPerkShotgunsEffect,"Melhora a taxa de disparo de [decea3]Espingardas[-], velocidade de recarga, dano e mira em até [decea3]25%[-]."
actionPerkShovels,"Escavação"
actionPerkShovels1,"Dano [decea3]+10%[-]\nEficiência de colheita [decea3]+10%[-]"
actionPerkShovels2,"Dano [decea3]+20%[-]\nEficiência de colheita [decea3]+20%[-]"
actionPerkShovels3,"Dano [decea3]+30%[-]\nEficiência de colheita [decea3]+30%[-]"
actionPerkShovels4,"Dano [decea3]+40%[-]\nEficiência de colheita [decea3]+40%[-]"
actionPerkShovels5,"Dano [decea3]+50%[-]\nEficiência de colheita [decea3]+50%[-]"
actionPerkSledgehammers,"Marretas"
actionPerkSledgehammers1,"Dano, Desmembramento [decea3]+5%[-]\nDano Extra de Tiro na Cabeça [decea3]+10%[-]\n"
actionPerkSledgehammers2,"Dano, Desmembramento [decea3]+10%[-]\nDano Extra de Tiro na Cabeça [decea3]+20%[-]\n"
actionPerkSledgehammers3,"Dano, Desmembramento [decea3]+15%[-]\nDano Extra de Tiro na Cabeça [decea3]+30%[-]\n"
actionPerkSledgehammers4,"Dano, Desmembramento [decea3]+20%[-]\nDano Extra de Tiro na Cabeça [decea3]+40%[-]\n"
actionPerkSledgehammers5,"Dano, Desmembramento [decea3]+25%[-]\nDano Extra de Tiro na Cabeça [decea3]+50%[-]\n"
actionPerkSneaking,"Esgueirar-se"
actionPerkSneaking1,"Velocidade de agachamento [decea3]+5%[-]\nDetecção e ruído [decea3]-5%[-]"
actionPerkSneaking2,"Velocidade de agachamento [decea3]+10%[-]\nDetecção e ruído [decea3]-10%[-]"
actionPerkSneaking3,"Velocidade de agachamento [decea3]+15%[-]\nDetecção e ruído [decea3]-15%[-]"
actionPerkSneaking4,"Velocidade de agachamento [decea3]+20%[-]\nDetecção e ruído [decea3]-20%[-]"
actionPerkSneaking5,"Velocidade de agachamento [decea3]+25%[-]\nDetecção e ruído [decea3]-25%[-]"
actionPerkSneakingDesc,"Aumenta sua velocidade de agachamento e reduz o ruído enquanto agachado em até [decea3]25%[-]. Mova-se agachado para melhorar esta habilidade."
actionPerkSneakingEffect,"Aumenta sua velocidade de agachamento e reduz o ruído enquanto agachado em até [decea3]25%[-]."
actionPerkSniperRifles,"Rifles de precisão"
actionPerkSniperRifles1,"Dano, Mira, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nVelocidade de Recarga [decea3]+2%[-]\n[decea3]Desbloqueia fabricação de munição de 7,92mm de ponta oca [-]"
actionPerkSniperRifles2,"Dano, Mira, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nVelocidade de Recarga [decea3]+4%[-]\n[decea3]Desbloqueia fabricação de munição de 7,92mm perfurante [-]"
actionPerkSniperRifles3,"Dano, Mira, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nVelocidade de Recarga [decea3]+6%[-]"
actionPerkSniperRifles4,"Dano, Mira, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nVelocidade de Recarga [decea3]+8%[-]"
actionPerkSniperRifles5,"Dano, Mira, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nVelocidade de Recarga [decea3]+10%[-]"
actionPerkSpears,"Lanças"
actionPerkSpears1,"Dano, Desmembramento [decea3]+5%[-]\nForça de Arremesso [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]"
actionPerkSpears2,"Dano, Desmembramento [decea3]+10%[-]\nForça de Arremesso [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]"
actionPerkSpears3,"Dano, Desmembramento [decea3]+15%[-]\nForça de Arremesso [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]"
actionPerkSpears4,"Dano, Desmembramento [decea3]+20%[-]\nForça de Arremesso [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]"
actionPerkSpears5,"Dano, Desmembramento [decea3]+25%[-]\nForça de Arremesso [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]"
actionPerkStrength,"Levantamento de Peso"
actionPerkStrength1,"Aumenta a capacidade de carga em [decea3]20.0[-]"
actionPerkStrength2,"Aumenta a capacidade de carga em [decea3]40.0[-]"
actionPerkStrength3,"Aumenta a capacidade de carga em [decea3]60.0[-]"
actionPerkStrength4,"Aumenta a capacidade de carga em [decea3]80.0[-]"
actionPerkStrength5,"Aumenta a capacidade de carga em [decea3]100.0[-]"
actionPerkSubmachineGuns,"Submetralhadoras"
actionPerkSubmachineGuns1,"Dano, Mira, Desmembramento [decea3]+5%[-]\nDano de Tiro na Cabeça [decea3]+10%[-]\nVelocidade de Recarga [decea3]+2%[-]\n[decea3]Desbloqueia fabricação de munição de 10mm de ponta oca[ -]"
actionPerkSubmachineGuns2,"Dano, Mira, Desmembramento [decea3]+10%[-]\nDano de Tiro na Cabeça [decea3]+20%[-]\nVelocidade de Recarga [decea3]+4%[-]\n[decea3]Desbloqueia fabricação de munição de 10mm de penetrante[ -]"
actionPerkSubmachineGuns3,"Dano, Mira, Desmembramento [decea3]+15%[-]\nDano de Tiro na Cabeça [decea3]+30%[-]\nVelocidade de Recarga [decea3]+6%[-]"
actionPerkSubmachineGuns4,"Dano, Mira, Desmembramento [decea3]+20%[-]\nDano de Tiro na Cabeça [decea3]+40%[-]\nVelocidade de Recarga [decea3]+8%[-]"
actionPerkSubmachineGuns5,"Dano, Mira, Desmembramento [decea3]+25%[-]\nDano de Tiro na Cabeça [decea3]+50%[-]\nVelocidade de Recarga [decea3]+10%[-]"
actionPerkSubmachineGunsDesc,"Melhora a taxa de disparo da [decea3]Submetralhadoras[-], velocidade de recarga, dano e mira em até [decea3]25%[-]. Use Submetralhadoras para melhorar essa habilidade."
actionPerkSubmachineGunsEffect,"Melhora a taxa de disparo da [decea3]Submetralhadoras[-], velocidade de recarga, dano e mira em até [decea3]25%[-]."
actionPerkTipExp,"EXP"
actionPerkTipExpLong,"Experiência atual"
actionPerkTipExpNext,"Próximo"
actionPerkTipExpNextLong,"Experiência para subir de nível"
actionPerkTrading,"Negociação"
actionPerkTrading1,"Vender itens é [decea3]5%[-] mais lucrativo\nEsquema Secreto [decea3]+1[-]"
actionPerkTrading2,"Vender itens é [decea3]10%[-] mais lucrativo\nEsquema Secreto [decea3]+2[-]"
actionPerkTrading3,"Vender itens é [decea3]15%[-] mais lucrativo\nEsquema Secreto [decea3]+3[-]"
actionPerkTrading4,"Vender itens é [decea3]20%[-] mais lucrativo\nEsquema Secreto [decea3]+4[-]"
actionPerkTrading5,"Vender itens é [decea3]25%[-] mais lucrativo\nEsquema Secreto [decea3]+5[-]"
actionPerkTurrets,"Torretas"
actionPerkTurrets1,"Desempenho da Torreta Portátil [decea3]+5%[-]\nEXP recebida de Armadilhas Elétricas [decea3]+5%[-]"
actionPerkTurrets2,"Desempenho da Torreta Portátil [decea3]+10%[-]\nEXP recebida de Armadilhas Elétricas [decea3]+10%[-]"
actionPerkTurrets3,"Desempenho da Torreta Portátil [decea3]+15%[-]\nEXP recebida de Armadilhas Elétricas [decea3]+15%[-]"
actionPerkTurrets4,"Desempenho da Torreta Portátil [decea3]+20%[-]\nEXP recebida de Armadilhas Elétricas [decea3]+20%[-]"
actionPerkTurrets5,"Desempenho da Torreta Portátil [decea3]+25%[-]\nEXP recebida de Armadilhas Elétricas [decea3]+25%[-]"
actionSkillDeathPenalty,"Você sofreu perda de memória, como resultado, algumas de suas\n[decea3]Habilidades de ação[-] se deterioraram em um nível"
activeBlockPrompt,"{0}\n([8FCE00]ativo[-])"
adhesive,"Adesivo"
ammo44MagnumBulletAP,"Munição .44 Magnum AP"
ammo44MagnumBulletAPDesc,".44 Cal [decea3]Anti Blindagem[-] Rounds, uma munição alternativa para [decea3]Large Handguns[-] with much higher penetrating power compared to standard rounds."
ammo44MagnumBulletBall,"Munição de .44 Magnum"
ammo44MagnumBulletBallDesc,"Um projétil de ..44 Magnum usado como munição de arma de fogo. Pode ser fabricado na bancada."
ammo44MagnumBulletHP,"Munição .44 Magnum Ponta Oca"
ammo44MagnumBulletHPDesc,".44 Cal [decea3]Ponta Oca[-] Rounds, uma munição alternativa para [decea3]Large Handguns[-], com maior penetração e precisão. Proibida em diversos locais."
ammo762mmBulletAP,"Munição 7.62 mm AP"
ammo762mmBulletAPDesc,"7.62mm [decea3]Anti Blindagem[-] Rounds, uma munição alternativa para [decea3]Assault Rifles[-] with much higher penetrating power compared to standard rounds."
ammo762mmBulletBall,"Munição 7.62 mm"
ammo762mmBulletBallDesc,"Um projétil de 7.62 mm normal usado como munição de arma de fogo. Pode ser fabricado na bancada."
ammo762mmBulletHP,"Munição 7.62 mm Ponta Oca"
ammo762mmBulletHPDesc,"7.62mm [decea3]Ponta Oca[-] Rounds, uma munição alternativa para [decea3]Assault Rifles[-], com maior penetração e precisão. Proibida em diversos locais."
ammo9mmBulletAP,"Munição 9 mm AP"
ammo9mmBulletAPDesc,"9mm [decea3]Anti Blindagem[-] Rounds, uma munição alternativa para [decea3]Small Handguns[-] with much higher penetrating power compared to standard rounds."
ammo9mmBulletBall,"Munição 9 mm"
ammo9mmBulletBallDesc,"Um projétil de 9 mm usado como munição de arma de fogo. Pode ser fabricado na bancada."
ammo9mmBulletHP,"Munição 9 mm Ponta Oca"
ammo9mmBulletHPDesc,"9mm [decea3]Ponta Oca[-] Rounds, uma munição alternativa para [decea3]Small Handguns[-], com maior penetração e precisão. Proibida em diversos locais."
ammoArrowExploding,"Flecha Explosiva (Munição)"
ammoArrowFlaming,"Flecha Flamejante (Munição)"
ammoArrowIron,"Flecha de Ferro (Munição)"
ammoArrowSteelAP,"Flecha de Aço (Munição)"
ammoArrowStone,"Flecha de Pedra (Munição)"
ammoBlunderbuss,"Munição de Bacamarte"
ammoBlunderbussDesc,"É possível fazer munição de bacamarte com papel, pólvora e pedras pequenas."
ammoCrossbowBoltExploding,"Virotes de Besta Explosivos (Munição)"
ammoCrossbowBoltExplodingDesc,"Solução bruta, que da uma pancada pesada. Compatível com a maioria das bestas."
ammoCrossbowBoltFlaming,"Virotes de Besta Flamejantes (Munição)"
ammoCrossbowBoltIron,"Virotes de Besta de Ferro (Munição)"
ammoCrossbowBoltIronDesc,"Um virote com ponta de ferro para bestas. Segure “recarregar” para alternar a munição."
ammoCrossbowBoltSteelAP,"Virotes de Besta de Aço (Munição)"
ammoCrossbowBoltSteelAPDesc,"Virotes com ponta de aço causam mais dano e voam em linha reta.\nSegure “recarregar” para alternar a munição."
ammoCrossbowBoltStone,"Virotes de Besta de Pedra (Munição)"
ammoCrossbowBoltStoneDesc,"Um virote de besta com ponta de pedra. Segure “recarregar” para alternar a munição."
